System.Net.WebException: The operation has timed out.
   at System.Net.HttpWebRequest.GetResponse()
   at System.Net.WebClient.GetWebResponse(WebRequest request)
   at System.Net.WebClient.OpenRead(Uri address)
   at Janda.CTF.SANS.HolidayHack.S3.<>c__DisplayClass4_0.<Run>b__1(String word) in C:\Users\Matt\Source\Repos\Janda\CTFs\Janda.CTF.SANS.HolidayHack\src\December2020\Challenges\Amazon\S3.cs:line 44
2020-12-22 17:59:14.885 +00:00 [INF] Found open bucket contest
2020-12-22 17:59:15.450 +00:00 [INF] Found open bucket prev
2020-12-22 17:59:16.557 +00:00 [INF] Found open bucket weeklystandard
2020-12-22 17:59:16.720 +00:00 [INF] Found open bucket amd
2020-12-22 17:59:18.272 +00:00 [INF] Found open bucket economics
2020-12-22 17:59:19.473 +00:00 [INF] Found open bucket nationalinstruments
